group	sampletype	tdpc
1971_V_1_F	Fecal	_28_MVMC
1972_V_1_F	Fecal	_28_MVC
1973_V_1_F	Fecal	_28_EVC
1975_V_1_F	Fecal	_28_MVC
1977_V_1_F	Fecal	_28_EVC
1978_V_1_F	Fecal	_28_MVC
1979_V_1_F	Fecal	_28_MVMC
1980_V_1_F	Fecal	_28_EVC
1981_V_1_F	Fecal	_28_MVMC
1984_V_1_F	Fecal	_28_EVC
1986_V_1_F	Fecal	_28_MVC
1988_V_1_F	Fecal	_28_MVMC
1989_V_1_F	Fecal	_28_MVC
1990_V_1_F	Fecal	_28_EVC
1991_V_1_F	Fecal	_28_MVMC
1993_V_1_F	Fecal	_28_EVC
1995_V_1_F	Fecal	_28_MVC
2000_V_1_F	Fecal	_28_EVC
5374_V_1_F	Fecal	_28_MVMC
5375_V_1_F	Fecal	_28_MVC
5377_V_1_F	Fecal	_28_MVMC
5379_V_1_F	Fecal	_28_EVC
5381_V_1_F	Fecal	_28_MVC
5382_V_1_F	Fecal	_28_EVC
5393_V_1_F	Fecal	_28_MVC
5394_V_1_F	Fecal	_28_EVC
5396_V_1_F	Fecal	_28_EVC
5397_V_1_F	Fecal	_28_MVMC
5400_V_1_F	Fecal	_28_MVMC
5402_V_1_F	Fecal	_28_MVC
5404_V_1_F	Fecal	_28_MVMC
5406_V_1_F	Fecal	_28_MVC
5407_V_1_F	Fecal	_28_EVC
5408_V_1_F	Fecal	_28_MVMC
5409_V_1_F	Fecal	_28_MVC
5411_V_1_F	Fecal	_28_EVC
5413_V_1_F	Fecal	_28_MVMC
5415_V_1_F	Fecal	_28_MVC
5416_V_1_F	Fecal	_28_EVC
5418_V_1_F	Fecal	_28_MVC
5420_V_1_F	Fecal	_28_EVC
5421_V_1_F	Fecal	_28_MVMC
5425_V_1_F	Fecal	_28_MVMC
6137_V_1_F	Fecal	_28_MVC
6140_V_1_F	Fecal	_28_MVC
6141_V_1_F	Fecal	_28_MVMC
6142_V_1_F	Fecal	_28_EVC
81_V_1_F	Fecal	_28_EVC
82_V_1_F	Fecal	_28_MVMC
83_V_1_F	Fecal	_28_MVC
84_V_1_F	Fecal	_28_MVMC
88_V_1_F	Fecal	_28_MVMC
89_V_1_F	Fecal	_28_EVC
90_V_1_F	Fecal	_28_MVC
91_V_1_F	Fecal	_28_MVMC
92_V_1_F	Fecal	_28_EVC
96_V_1_F	Fecal	_28_MVC
98_V_1_F	Fecal	_28_MVMC
99_V_1_F	Fecal	_28_EVC
1971_D_1_F	Fecal	_1_MVMC
1972_D_1_F	Fecal	_1_MVC
1973_D_1_F	Fecal	_1_EVC
1975_D_1_F	Fecal	_1_MVC
1977_D_1_F	Fecal	_1_EVC
1978_D_1_F	Fecal	_1_MVC
1979_D_1_F	Fecal	_1_MVMC
1980_D_1_F	Fecal	_1_EVC
1981_D_1_F	Fecal	_1_MVMC
1984_D_1_F	Fecal	_1_EVC
1986_D_1_F	Fecal	_1_MVC
1988_D_1_F	Fecal	_1_MVMC
1989_D_1_F	Fecal	_1_MVC
1990_D_1_F	Fecal	_1_EVC
1991_D_1_F	Fecal	_1_MVMC
1993_D_1_F	Fecal	_1_EVC
1995_D_1_F	Fecal	_1_MVC
2000_D_1_F	Fecal	_1_EVC
5374_D_1_F	Fecal	_1_MVMC
5375_D_1_F	Fecal	_1_MVC
