group	class
1971_D14_CC	MVMC
1972_D14_CC	MVC
1973_D14_CC	EVC
1975_D14_CC	MVC
1977_D14_CC	EVC
1978_D14_CC	MVC
1979_D14_CC	MVMC
1980_D14_CC	EVC
1981_D14_CC	MVMC
1984_D14_CC	EVC
1986_D14_CC	MVC
1988_D14_CC	MVMC
1989_D14_CC	MVC
1990_D14_CC	EVC
1991_D14_CC	MVMC
1993_D14_CC	EVC
1995_D14_CC	MVC
2000_D14_CC	EVC
5374_D14_CC	MVMC
5375_D14_CC	MVC
5377_D14_CC	MVMC
5379_D14_CC	EVC
5381_D14_CC	MVC
5382_D14_CC	EVC
5393_D14_CC	MVC
5394_D14_CC	EVC
5396_D14_CC	EVC
5397_D14_CC	MVMC
5400_D14_CC	MVMC
5402_D14_CC	MVC
5404_D14_CC	MVMC
5406_D14_CC	MVC
5407_D14_CC	EVC
5408_D14_CC	MVMC
5409_D14_CC	MVC
5411_D14_CC	EVC
5413_D14_CC	MVMC
5415_D14_CC	MVC
5416_D14_CC	EVC
5418_D14_CC	MVC
5420_D14_CC	EVC
5421_D14_CC	MVMC
5425_D14_CC	MVMC
6140_D14_CC	MVC
6141_D14_CC	MVMC
6142_D14_CC	EVC
81_D14_CC	EVC
82_D14_CC	MVMC
83_D14_CC	MVC
84_D14_CC	MVMC
88_D14_CC	MVMC
89_D14_CC	EVC
90_D14_CC	MVC
91_D14_CC	MVMC
92_D14_CC	EVC
96_D14_CC	MVC
98_D14_CC	MVMC
99_D14_CC	EVC
