group	class	subclass
1971_V_1_F	MVMC	_28
1972_V_1_F	MVC	_28
1973_V_1_F	EVC	_28
1975_V_1_F	MVC	_28
1977_V_1_F	EVC	_28
1978_V_1_F	MVC	_28
1979_V_1_F	MVMC	_28
1980_V_1_F	EVC	_28
1981_V_1_F	MVMC	_28
1984_V_1_F	EVC	_28
1986_V_1_F	MVC	_28
1988_V_1_F	MVMC	_28
1989_V_1_F	MVC	_28
1990_V_1_F	EVC	_28
1991_V_1_F	MVMC	_28
1993_V_1_F	EVC	_28
1995_V_1_F	MVC	_28
2000_V_1_F	EVC	_28
5374_V_1_F	MVMC	_28
5375_V_1_F	MVC	_28
5377_V_1_F	MVMC	_28
5379_V_1_F	EVC	_28
5381_V_1_F	MVC	_28
5382_V_1_F	EVC	_28
5393_V_1_F	MVC	_28
5394_V_1_F	EVC	_28
5396_V_1_F	EVC	_28
5397_V_1_F	MVMC	_28
5400_V_1_F	MVMC	_28
5402_V_1_F	MVC	_28
5404_V_1_F	MVMC	_28
5406_V_1_F	MVC	_28
5407_V_1_F	EVC	_28
5408_V_1_F	MVMC	_28
5409_V_1_F	MVC	_28
5411_V_1_F	EVC	_28
5413_V_1_F	MVMC	_28
5415_V_1_F	MVC	_28
5416_V_1_F	EVC	_28
5418_V_1_F	MVC	_28
5420_V_1_F	EVC	_28
5421_V_1_F	MVMC	_28
5425_V_1_F	MVMC	_28
6137_V_1_F	MVC	_28
6140_V_1_F	MVC	_28
6141_V_1_F	MVMC	_28
6142_V_1_F	EVC	_28
81_V_1_F	EVC	_28
82_V_1_F	MVMC	_28
83_V_1_F	MVC	_28
84_V_1_F	MVMC	_28
88_V_1_F	MVMC	_28
89_V_1_F	EVC	_28
90_V_1_F	MVC	_28
91_V_1_F	MVMC	_28
92_V_1_F	EVC	_28
96_V_1_F	MVC	_28
98_V_1_F	MVMC	_28
99_V_1_F	EVC	_28
1971_D_1_F	MVMC	_1
1972_D_1_F	MVC	_1
1973_D_1_F	EVC	_1
1975_D_1_F	MVC	_1
1977_D_1_F	EVC	_1
1978_D_1_F	MVC	_1
1979_D_1_F	MVMC	_1
1980_D_1_F	EVC	_1
1981_D_1_F	MVMC	_1
1984_D_1_F	EVC	_1
1986_D_1_F	MVC	_1
1988_D_1_F	MVMC	_1
1989_D_1_F	MVC	_1
1990_D_1_F	EVC	_1
1991_D_1_F	MVMC	_1
1993_D_1_F	EVC	_1
1995_D_1_F	MVC	_1
2000_D_1_F	EVC	_1
5374_D_1_F	MVMC	_1
5375_D_1_F	MVC	_1
5377_D_1_F	MVMC	_1
5379_D_1_F	EVC	_1
5381_D_1_F	MVC	_1
5382_D_1_F	EVC	_1
5393_D_1_F	MVC	_1
5394_D_1_F	EVC	_1
5396_D_1_F	EVC	_1
5397_D_1_F	MVMC	_1
5400_D_1_F	MVMC	_1
5402_D_1_F	MVC	_1
5404_D_1_F	MVMC	_1
5406_D_1_F	MVC	_1
5407_D_1_F	EVC	_1
5408_D_1_F	MVMC	_1
5409_D_1_F	MVC	_1
5411_D_1_F	EVC	_1
