SampleID,Group,Treatment,Vaccine,Challenge,PigID,Study_Day,Days_post_vaccination,Days_post_challenge,Sample_Type
1971_V_1_F,1,MVMC,Mock,Mock,1971,V_1,-1,-28,Fecal
1972_V_1_F,2,MVC,Mock,I4512i,1972,V_1,-1,-28,Fecal
1973_V_1_F,3,EVC,Enterisol,I4512i,1973,V_1,-1,-28,Fecal
1975_V_1_F,2,MVC,Mock,I4512i,1975,V_1,-1,-28,Fecal
1977_V_1_F,3,EVC,Enterisol,I4512i,1977,V_1,-1,-28,Fecal
1978_V_1_F,2,MVC,Mock,I4512i,1978,V_1,-1,-28,Fecal
1979_V_1_F,1,MVMC,Mock,Mock,1979,V_1,-1,-28,Fecal
1980_V_1_F,3,EVC,Enterisol,I4512i,1980,V_1,-1,-28,Fecal
1981_V_1_F,1,MVMC,Mock,Mock,1981,V_1,-1,-28,Fecal
1984_V_1_F,3,EVC,Enterisol,I4512i,1984,V_1,-1,-28,Fecal
1986_V_1_F,2,MVC,Mock,I4512i,1986,V_1,-1,-28,Fecal
1988_V_1_F,1,MVMC,Mock,Mock,1988,V_1,-1,-28,Fecal
1989_V_1_F,2,MVC,Mock,I4512i,1989,V_1,-1,-28,Fecal
1990_V_1_F,3,EVC,Enterisol,I4512i,1990,V_1,-1,-28,Fecal
1991_V_1_F,1,MVMC,Mock,Mock,1991,V_1,-1,-28,Fecal
1993_V_1_F,3,EVC,Enterisol,I4512i,1993,V_1,-1,-28,Fecal
1995_V_1_F,2,MVC,Mock,I4512i,1995,V_1,-1,-28,Fecal
2000_V_1_F,3,EVC,Enterisol,I4512i,2000,V_1,-1,-28,Fecal
5374_V_1_F,1,MVMC,Mock,Mock,5374,V_1,-1,-28,Fecal
5375_V_1_F,2,MVC,Mock,I4512i,5375,V_1,-1,-28,Fecal
5377_V_1_F,1,MVMC,Mock,Mock,5377,V_1,-1,-28,Fecal
5379_V_1_F,3,EVC,Enterisol,I4512i,5379,V_1,-1,-28,Fecal
5381_V_1_F,2,MVC,Mock,I4512i,5381,V_1,-1,-28,Fecal
5382_V_1_F,3,EVC,Enterisol,I4512i,5382,V_1,-1,-28,Fecal
5393_V_1_F,2,MVC,Mock,I4512i,5393,V_1,-1,-28,Fecal
5394_V_1_F,3,EVC,Enterisol,I4512i,5394,V_1,-1,-28,Fecal
5396_V_1_F,3,EVC,Enterisol,I4512i,5396,V_1,-1,-28,Fecal
5397_V_1_F,1,MVMC,Mock,Mock,5397,V_1,-1,-28,Fecal
5400_V_1_F,1,MVMC,Mock,Mock,5400,V_1,-1,-28,Fecal
